"","film","year","ceremony","winner","wiki_link","Running_Time_Minutes","Budget_Millions","Box_Office_Millions"
"115","Lion",2016,89,FALSE,"https://en.wikipedia.org/wiki/Lion_(2016_film)",118,12,140.3
"116","Manchester by the Sea",2016,89,FALSE,"https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film)",137,8.75,79
"117","Moonlight",2016,89,TRUE,"https://en.wikipedia.org/wiki/Moonlight_(2016_film)",111,2.75,66.7
"118","Call Me by Your Name",2017,90,FALSE,"https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film)",132,3.5,43.1
"119","Darkest Hour",2017,90,FALSE,"https://en.wikipedia.org/wiki/Darkest_Hour_(film)",125,30,150.8
"120","Dunkirk",2017,90,FALSE,"https://en.wikipedia.org/wiki/Dunkirk_(2017_film)",106,100,549.1
"121","Get Out",2017,90,FALSE,"https://en.wikipedia.org/wiki/Get_Out",104,4.5,259.8
"122","Lady Bird",2017,90,FALSE,"https://en.wikipedia.org/wiki/Lady_Bird_(film)",94,10,79
"123","Phantom Thread",2017,90,FALSE,"https://en.wikipedia.org/wiki/Phantom_Thread",130,35,52.2
"124","The Post",2017,90,FALSE,"https://en.wikipedia.org/wiki/The_Post_(film)",116,50,179.8
"125","The Shape of Water",2017,90,TRUE,"https://en.wikipedia.org/wiki/The_Shape_of_Water",123,19.4,195.2
"126","Three Billboards outside Ebbing, Missouri",2017,90,FALSE,"https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri",115,13.5,162.7
"127","A Star Is Born",2018,91,FALSE,"https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film)",136,36,436.3
"128","Black Panther",2018,91,FALSE,"https://en.wikipedia.org/wiki/Black_Panther_(film)",134,200,1350
"129","BlacKkKlansman",2018,91,FALSE,"https://en.wikipedia.org/wiki/BlacKkKlansman",135,15,93.4
"130","Bohemian Rhapsody",2018,91,FALSE,"https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film)",134,52.5,910.8
"131","Green Book",2018,91,TRUE,"https://en.wikipedia.org/wiki/Green_Book_(film)",130,23,321.8
"132","Roma",2018,91,FALSE,"https://en.wikipedia.org/wiki/Roma_(2018_film)",135,15,5.1
"133","The Favourite",2018,91,FALSE,"https://en.wikipedia.org/wiki/The_Favourite_(2018_film)",120,15,96
"134","Vice",2018,91,FALSE,"https://en.wikipedia.org/wiki/Vice_(2018_film)",132,60,76.1
"135","1917",2019,92,FALSE,"https://en.wikipedia.org/wiki/1917_(2019_film)",119,95,446.1
"136","Ford v Ferrari",2019,92,FALSE,"https://en.wikipedia.org/wiki/Ford_v_Ferrari",152,97.6,225.5
"137","Jojo Rabbit",2019,92,FALSE,"https://en.wikipedia.org/wiki/Jojo_Rabbit",108,14,93.6
"138","Joker",2019,92,FALSE,"https://en.wikipedia.org/wiki/Joker_(2019_film)",122,62.5,1079
"139","Little Women",2019,92,FALSE,"https://en.wikipedia.org/wiki/Little_Women_(2019_film)",135,40,220.1
"140","Marriage Story",2019,92,FALSE,"https://en.wikipedia.org/wiki/Marriage_Story",137,18,2.3
"141","Once upon a Time...in Hollywood",2019,92,FALSE,"https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood",161,93,392.1
"142","Parasite",2019,92,TRUE,"https://en.wikipedia.org/wiki/Parasite_(2019_film)",132,11.4,258.1
"143","The Irishman",2019,92,FALSE,"https://en.wikipedia.org/wiki/The_Irishman",209,204.5,8
"144","Judas and the Black Messiah",2020,93,FALSE,"https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah",126,26,7.5
"145","Mank",2020,93,FALSE,"https://en.wikipedia.org/wiki/Mank",131,25,0.122572
"146","Minari",2020,93,FALSE,"https://en.wikipedia.org/wiki/Minari",115,2,15.5
"147","Nomadland",2020,93,TRUE,"https://en.wikipedia.org/wiki/Nomadland",108,5,39.5
"148","Promising Young Woman",2020,93,FALSE,"https://en.wikipedia.org/wiki/Promising_Young_Woman",114,10,18.9
"149","Sound of Metal",2020,93,FALSE,"https://en.wikipedia.org/wiki/Sound_of_Metal",120,5.4,0.51652
"150","The Father",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Father_(2020_film)",97,6,36
"151","The Trial of the Chicago 7",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Trial_of_the_Chicago_7",130,35,0.116473
"152","Belfast",2021,94,FALSE,"https://en.wikipedia.org/wiki/Belfast_(film)",97,12.5,49
"153","CODA",2021,94,TRUE,"https://en.wikipedia.org/wiki/CODA_(2021_film)",111,10,2.2
"154","Don't Look Up",2021,94,FALSE,"https://en.wikipedia.org/wiki/Don%27t_Look_Up",138,75,0.791863
"155","Drive My Car",2021,94,FALSE,"https://en.wikipedia.org/wiki/Drive_My_Car_(film)",179,1.3,15.4
"156","Dune",2021,94,FALSE,"https://en.wikipedia.org/wiki/Dune_(2021_film)",156,165,411
"157","King Richard",2021,94,FALSE,"https://en.wikipedia.org/wiki/King_Richard_(film)",145,50,39.4
"158","Licorice Pizza",2021,94,FALSE,"https://en.wikipedia.org/wiki/Licorice_Pizza",133,40,33.3
"159","Nightmare Alley",2021,94,FALSE,"https://en.wikipedia.org/wiki/Nightmare_Alley_(2021_film)",150,60,39.6
"160","The Power of the Dog",2021,94,FALSE,"https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film)",126,37,0.417022
"161","West Side Story",2021,94,FALSE,"https://en.wikipedia.org/wiki/West_Side_Story_(2021_film)",156,100,76
"162","All Quiet on the Western Front",2022,95,FALSE,"https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(2022_film)",147,20,2878
"163","Avatar: The Way of Water",2022,95,FALSE,"https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water",192,405,2.334
"164","Elvis",2022,95,FALSE,"https://en.wikipedia.org/wiki/Elvis_(2022_film)",159,85,288.7
"165","Everything Everywhere All at Once",2022,95,TRUE,"https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once",139,19.5,143.4
"166","Tár",2022,95,FALSE,"https://en.wikipedia.org/wiki/T%C3%A1r",158,25,29.3
"167","The Banshees of Inisherin",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Banshees_of_Inisherin",114,20,52.3
"168","The Fabelmans",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Fabelmans",151,40,45.6
"169","Top Gun: Maverick",2022,95,FALSE,"https://en.wikipedia.org/wiki/Top_Gun:_Maverick",130,173.5,1496
"170","Triangle of Sadness",2022,95,FALSE,"https://en.wikipedia.org/wiki/Triangle_of_Sadness",147,15.6,32.9
"171","Women Talking",2022,95,FALSE,"https://en.wikipedia.org/wiki/Women_Talking_(film)",104,20,9.3
"172","American Fiction",2023,96,FALSE,"https://en.wikipedia.org/wiki/American_Fiction_(film)",117,10,23
"173","Anatomy of a Fall",2023,96,FALSE,"https://en.wikipedia.org/wiki/Anatomy_of_a_Fall",152,36,36
"174","Barbie",2023,96,FALSE,"https://en.wikipedia.org/wiki/Barbie_(film)",114,136.5,1448
"175","Killers of the Flower Moon",2023,96,FALSE,"https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(film)",206,207.5,158.8
"176","Maestro",2023,96,FALSE,"https://en.wikipedia.org/wiki/Maestro_(2023_film)",129,80,0.523
"177","Oppenheimer",2023,96,TRUE,"https://en.wikipedia.org/wiki/Oppenheimer_(film)",180,100,975.8
